rw-river-article__title,rw-entity-meta__tag-link 2,rw-entity-meta__tag-value__list__item 2,rw-entity-meta__tag-value__list__item,rw-river-article__title href,rw-entity-meta__tag-link href,rw-entity-meta__tag-link,rw-entity-meta__tag-link href 2,rw-entity-meta__tag-value--status--past,rw-entity-meta__tag-label 2,rw-entity-meta__tag-label 3,rw-entity-meta__tag-value--status--ongoing
Somalia: Flash Floods - Apr 2018,Somalia,1 more,"",https://reliefweb.int/disaster/ff-2018-000041-som,https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29,Flash Flood,https://reliefweb.int/country/som,,Disaster types,Affected country,
Rwanda: Floods - Mar 2018,Rwanda,1 more,"",https://reliefweb.int/disaster/fl-2018-000029-rwa,https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29,Flash Flood,https://reliefweb.int/country/rwa,,Disaster types,Affected country,
Kenya: Floods - Mar 2018,Kenya,1 more,"",https://reliefweb.int/disaster/ff-2018-000030-ken,https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29,Flash Flood,https://reliefweb.int/country/ken,,Disaster types,Affected country,
Uganda: Cholera Outbreak - Feb 2018,Uganda,"","",https://reliefweb.int/disaster/ep-2018-000021-uga,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/uga,,Disaster type,Affected country,
South Sudan: Floods - Sep 2017,South Sudan,"","",https://reliefweb.int/disaster/fl-2017-000137-ssd,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/ssd,,Disaster type,Affected country,
Rwanda: Severe Local Storms - Sep 2017,Rwanda,1 more,"",https://reliefweb.int/disaster/st-2017-000143-rwa,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/rwa,,Disaster types,Affected country,
Ethiopia: Floods - Aug 2017,Ethiopia,1 more,"",https://reliefweb.int/disaster/fl-2017-000139-eth,https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29,Flash Flood,https://reliefweb.int/country/eth,,Disaster types,Affected country,
Sudan: Acute Watery Diarrhoea (AWD) Outbreak - Jul 2017,Sudan,"","",https://reliefweb.int/disaster/ep-2017-000124-sdn,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/sdn,,Disaster type,Affected country,
Influenza A (H1N1) Pandemic - Apr 2009,World,,,https://reliefweb.int/disaster/ep-2009-000084-mex,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/wld,,,Affected countries,
Burundi: Floods - Apr 2009,Burundi,,,https://reliefweb.int/disaster/fl-2009-000075-bdi,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/bdi,,,Affected country,
Ethiopia: Flash Floods - Nov 2008,Ethiopia,,,https://reliefweb.int/disaster/ff-2008-000227-eth,https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29,Flash Flood,https://reliefweb.int/country/eth,,,Affected country,
Sudan: Floods - Oct 2008,Sudan,,,https://reliefweb.int/disaster/fl-2008-000207-sdn,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,Affected country,
Burundi: Floods - Sep 2008,Burundi,,,https://reliefweb.int/disaster/fl-2008-000187-bdi,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/bdi,,,Affected country,
Rwanda: Floods - Oct 2008,Rwanda,,,https://reliefweb.int/disaster/fl-2008-000182-rwa,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/rwa,,,Affected country,
Somalia: Floods - Oct 2008,Somalia,,,https://reliefweb.int/disaster/fl-2008-000185-som,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/som,,,Affected country,
Kenya: Floods - Oct 2008,Kenya,,,https://reliefweb.int/disaster/fl-2008-000217-ken,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/ken,,,Affected country,
Uganda: Floods - Sep 2008,Uganda,,,https://reliefweb.int/disaster/fl-2008-000175-uga,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/uga,,,Affected country,
Ethiopia: Flash Flood - Aug 2008,Ethiopia,,,https://reliefweb.int/disaster/ff-2008-000141-eth,https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29,Flash Flood,https://reliefweb.int/country/eth,,,Affected country,
Sudan: Floods - Aug 2008,Sudan,,,https://reliefweb.int/disaster/fl-2008-000125-sdn,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,Affected country,
Kenya: Flash Floods - Jun 2008,Kenya,,,https://reliefweb.int/disaster/ff-2008-000092-ken,https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29,Flash Flood,https://reliefweb.int/country/ken,,,Affected country,
Somalia: Floods - Jun 2008,Somalia,,,https://reliefweb.int/disaster/fl-2008-000091-som,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/som,,,Affected country,
Tanzania: Technical Accident and Floods - Apr 2008,Tanzania,,,https://reliefweb.int/disaster/ac-2008-000040-tza,https://reliefweb.int/disasters?list=Technological%20Disaster%20Disasters&advanced-search=%28TY4620%29,Technological Disaster,https://reliefweb.int/country/tza,,,Affected country,
Great Lakes: Earthquake - Feb 2008,DR Congo,,,https://reliefweb.int/disaster/eq-2008-000017-cod,https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29,Earthquake,https://reliefweb.int/country/cod,,,Affected countries,
Tanzania: Floods - Jan 2008,Tanzania,,,https://reliefweb.int/disaster/fl-2008-000011-tza,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,,Affected country,
Kenya: Floods - Dec 2007,Kenya,,,https://reliefweb.int/disaster/fl-2007-000221-ken,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/ken,,,Affected country,
Uganda: Ebola Outbreak - Nov 2007,Uganda,,,https://reliefweb.int/disaster/ep-2007-000219-uga,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/uga,,,Affected country,
Rwanda: Floods - Sep 2007,Rwanda,,,https://reliefweb.int/disaster/fl-2007-000159-rwa,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/rwa,,,Affected country,
Ethiopia: Floods - Aug 2007,Ethiopia,,,https://reliefweb.int/disaster/fl-2007-000145-eth,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,,Affected country,
Uganda: Floods - Aug 2007,Uganda,,"",https://reliefweb.int/disaster/fl-2007-000138-uga,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/uga,,,Affected country,
Kenya: Floods - Aug 2007,Kenya,,"",https://reliefweb.int/disaster/fl-2007-000139-ken,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/ken,,,Affected country,
East Africa: Floods - Aug 2007,Ethiopia,,5 more,https://reliefweb.int/disaster/fl-2007-000161-uga,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,,Affected countries,
Kenya: Landslides - Aug 2007,Kenya,,"",https://reliefweb.int/disaster/ls-2007-000128-ken,https://reliefweb.int/disasters?list=Land%20Slide%20Disasters&advanced-search=%28TY4728%29,Land Slide,https://reliefweb.int/country/ken,,,Affected country,
Uganda: Marburg Fever Outbreak - Jul 2007,Uganda,,"",https://reliefweb.int/disaster/ep-2007-000140-uga,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/uga,,,Affected country,
Sudan: Floods - Jul 2007,Sudan,,"",https://reliefweb.int/disaster/fl-2007-000093-sdn,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,Affected country,
Kenya: Floods - May 2007,Kenya,,"",https://reliefweb.int/disaster/fl-2007-000076-ken,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/ken,,,Affected country,
Burundi: Floods - Dec 2006,Burundi,,"",https://reliefweb.int/disaster/fl-2006-000190-bdi,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/bdi,,,Affected country,
Horn of Africa: Floods - Nov 2006,Ethiopia,,2 more,https://reliefweb.int/disaster/fl-2006-000169-som,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,,Affected countries,
Tanzania: Heavy Rains - Nov 2006,Tanzania,,"",https://reliefweb.int/disaster/fl-2006-000164-tza,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,,Affected country,
Uganda: Floods - Aug 2006,Uganda,,"",https://reliefweb.int/disaster/fl-2006-000124-uga,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/uga,,,Affected country,
Sudan: Floods - Aug 2006,Sudan,,"",https://reliefweb.int/disaster/fl-2006-000123-sdn,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,Affected country,
Ethiopia: Floods - Aug 2006,Ethiopia,,"",https://reliefweb.int/disaster/fl-2006-000112-eth,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,,Affected country,
Tanzania: Floods - May 2006,Tanzania,,"",https://reliefweb.int/disaster/fl-2006-000065-tza,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,,Affected country,
Kenya: Flash Floods - Apr 2006,Kenya,,"",https://reliefweb.int/disaster/ff-2006-000046-ken,https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29,Flash Flood,https://reliefweb.int/country/ken,,,Affected country,
East Africa: Earthquake - Dec 2005,Burundi,,5 more,https://reliefweb.int/disaster/eq-2005-000203-tza,https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29,Earthquake,https://reliefweb.int/country/bdi,,,Affected countries,
Sudan: Floods - Oct 2005,Sudan,,"",https://reliefweb.int/disaster/fl-2005-000175-sdn,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,Affected country,
Sudan: Floods - Aug 2005,Sudan,,"",https://reliefweb.int/disaster/fl-2005-000129-sdn,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,Affected country,
Somalia: Heavy rains - Apr 2005,Somalia,,"",https://reliefweb.int/disaster/st-2005-000066-som,https://reliefweb.int/disasters?list=Severe%20Local%20Storm%20Disasters&advanced-search=%28TY4656%29,Severe Local Storm,https://reliefweb.int/country/som,,,Affected country,
Horn of Africa: Floods - Apr 2005,Ethiopia,,2 more,https://reliefweb.int/disaster/fl-2005-000064-eth,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,,Affected countries,
Tanzania: Floods - Apr 2005,Tanzania,,"",https://reliefweb.int/disaster/fl-2005-000062-tza,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,Disaster type,Affected country,
Djibouti: Drought - Apr 2005,Eritrea,,2 more,https://reliefweb.int/disaster/dr-2005-000061-dji,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/eri,,Disaster type,Affected countries,
South Asia: Earthquake and Tsunami - Dec 2004,Indonesia,,10 more,https://reliefweb.int/disaster/ts-2004-000147-idn,https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29,Earthquake,https://reliefweb.int/country/idn,,Disaster types,Affected countries,
Locusts - Aug 2004,Algeria,,28 more,https://reliefweb.int/disaster/2004-000071-mrt,https://reliefweb.int/disasters?list=Insect%20Infestation%20Disasters&advanced-search=%28TY5255%29,Insect Infestation,https://reliefweb.int/country/dza,,Disaster type,Affected countries,
Kenya: Floods - May 2004,Kenya,,"",https://reliefweb.int/disaster/fl-2004-000020-ken,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/ken,,Disaster type,Affected country,
Djibouti: Floods - Apr 2004,Djibouti,,"",https://reliefweb.int/disaster/2004-0158,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/dji,,Disaster type,Affected country,
Sudan: Floods - Jul 2003,Sudan,,"",https://reliefweb.int/disaster/fl-2003-000368-sdn,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,Disaster type,Affected country,
Horn of Africa: Floods - May 2003,Ethiopia,,2 more,https://reliefweb.int/disaster/fl-2003-000204-ken,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,Disaster type,Affected countries,
Kenya: Floods - May 2002,Kenya,,1 more,https://reliefweb.int/disaster/fl-2002-000265-ken,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/ken,,Disaster type,Affected countries,
Ethiopia: Floods - Apr 2002,Ethiopia,,"",https://reliefweb.int/disaster/fl-2002-000225-eth,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,Disaster type,Affected country,
Djibouti: Toxic Pollution - Mar 2002,Djibouti,,"",https://reliefweb.int/disaster/ac-2002-000140-dji,https://reliefweb.int/disasters?list=Technological%20Disaster%20Disasters&advanced-search=%28TY4620%29,Technological Disaster,https://reliefweb.int/country/dji,,Disaster type,Affected country,
DR Congo: Volcano Nyiragongo - Jan 2002,DR Congo,,1 more,https://reliefweb.int/disaster/vo-2002-000033-cod,https://reliefweb.int/disasters?list=Volcano%20Disasters&advanced-search=%28TY4615%29,Volcano,https://reliefweb.int/country/cod,,Disaster type,Affected countries,
Sudan: Floods - Aug 2001,Sudan,,"",https://reliefweb.int/disaster/fl-2001-000417-sdn,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,Disaster type,Affected country,
DR Congo: Volcanic Activity Nyamulagira - Feb 2001,DR Congo,,2 more,https://reliefweb.int/disaster/vo-2001-000732-cod,https://reliefweb.int/disasters?list=Volcano%20Disasters&advanced-search=%28TY4615%29,Volcano,https://reliefweb.int/country/cod,,Disaster type,Affected countries,
Tanzania: Earthquake - Oct 2000,Tanzania,,"",https://reliefweb.int/disaster/eq-2000-000653-tza,https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29,Earthquake,https://reliefweb.int/country/tza,,Disaster type,Affected country,
Kenya: Drought - Jan 2000,Ethiopia,,1 more,https://reliefweb.int/disaster/dr-2000-000022-ken,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/eth,,Disaster type,Affected countries,
Rwanda: Drought - Nov 1999,Rwanda,,"",https://reliefweb.int/disaster/dr-1999-000458-rwa,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/rwa,,Disaster type,Affected country,
Sudan: Floods - Aug 1999,Sudan,,"",https://reliefweb.int/taxonomy/term/5823,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,Disaster type,Affected country,
Djibouti: Drought - Aug 1999,Djibouti,,1 more,https://reliefweb.int/disaster/dr-1999-000267-dji,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/dji,,Disaster type,Affected countries,
Ethiopia: Drought - Jul 1999,Ethiopia,,"",https://reliefweb.int/disaster/dr-1999-000148-eth,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/eth,,Disaster type,Affected country,
Sudan: Floods - Sep 1998,Sudan,,,https://reliefweb.int/disaster/fl-1998-000251-sdn,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,,
Tanzania: Floods - May 1998,Tanzania,,,https://reliefweb.int/disaster/fl-1998-000112-tza,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,,,
Ethiopia: Floods - Nov 1997,Ethiopia,,,https://reliefweb.int/disaster/fl-1997-000270-eth,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,,,
Uganda: Floods - Nov 1997,Uganda,,,https://reliefweb.int/disaster/fl-1997-000301-uga,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/uga,,,,
Kenya: Floods - Nov 1997,Kenya,,,https://reliefweb.int/disaster/fl-1997-000255-ken,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/ken,,,,
Somalia: Floods - Nov 1997,Somalia,,,https://reliefweb.int/disaster/fl-1997-000265-som,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/som,,,,
Tanzania: Fires - Oct 1997,Tanzania,,,https://reliefweb.int/disaster/wf-1997-000262-tza,https://reliefweb.int/disasters?list=Wild%20Fire%20Disasters&advanced-search=%28TY4648%29,Wild Fire,https://reliefweb.int/country/tza,,,,
Tanzania: Floods - Apr 1997,Tanzania,,,https://reliefweb.int/disaster/fl-1997-000049-tza,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,,,
Ethiopia: Drought - Apr 1997,Ethiopia,,,https://reliefweb.int/disaster/dr-1997-000091-eth,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/eth,,,,
Kenya: Drought - Feb 1997,Kenya,,,https://reliefweb.int/disaster/dr-1997-000024-ken,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/ken,,,,
Ethiopia: Floods - Aug 1996,Ethiopia,,,https://reliefweb.int/taxonomy/term/6617,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,,,
Sudan: Floods - Aug 1996,Sudan,,,https://reliefweb.int/taxonomy/term/4918,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,,
Djibouti: Drought - Jul 1996,Djibouti,,,https://reliefweb.int/taxonomy/term/5479,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/dji,,,,
Somalia: Floods - Nov 1995,Somalia,,,https://reliefweb.int/taxonomy/term/5618,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/som,,,,
Rwanda: Chemical Accident - Sep 1995,Rwanda,,,https://reliefweb.int/taxonomy/term/4903,https://reliefweb.int/disasters?list=Technological%20Disaster%20Disasters&advanced-search=%28TY4620%29,Technological Disaster,https://reliefweb.int/country/rwa,,,,
Tanzania: Floods - May 1995,Tanzania,,,https://reliefweb.int/taxonomy/term/5894,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,,,
Ethiopia: Floods - May 1995,Ethiopia,,,https://reliefweb.int/taxonomy/term/5232,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/eth,,,,
Djibouti: Floods - Nov 1994,Djibouti,,,https://reliefweb.int/taxonomy/term/5710,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/dji,,,,
Sudan: Floods - Sep 1994,Sudan,,,https://reliefweb.int/taxonomy/term/6628,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,,
Uganda: Earthquake - Feb 1994,Uganda,,,https://reliefweb.int/taxonomy/term/5288,https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29,Earthquake,https://reliefweb.int/country/uga,,,,
Sudan/Egypt: Earthquakes - Aug 1993,Egypt,,,https://reliefweb.int/taxonomy/term/6217,https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29,Earthquake,https://reliefweb.int/country/egy,,,Affected countries,
Eritrea: Hailstorm - Apr 1993,Eritrea,,,https://reliefweb.int/taxonomy/term/6203,https://reliefweb.int/disasters?list=Severe%20Local%20Storm%20Disasters&advanced-search=%28TY4656%29,Severe Local Storm,https://reliefweb.int/country/eri,,,Affected country,
Tanzania: Floods - Feb 1993,Tanzania,,,https://reliefweb.int/taxonomy/term/4732,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,,Affected country,
Sudan: Earthquake - May 1990,Sudan,,,https://reliefweb.int/taxonomy/term/6306,https://reliefweb.int/disasters?list=Earthquake%20Disasters&advanced-search=%28TY4628%29,Earthquake,https://reliefweb.int/country/sdn,,,Affected country,
Tanzania: Floods - Apr 1990,Tanzania,,,https://reliefweb.int/taxonomy/term/4779,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,,Affected country,
Somalia: Floods - Jun 1989,Somalia,,,https://reliefweb.int/taxonomy/term/5182,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/som,,,Affected country,
Tanzania: Floods - Apr 1989,Tanzania,,,https://reliefweb.int/taxonomy/term/6537,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/tza,,,Affected country,
Djibouti: Floods - Apr 1989,Djibouti,,,https://reliefweb.int/taxonomy/term/5125,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/dji,,,Affected country,
Ethiopia: Meningitis Epidemic - Feb 1989,Ethiopia,,,https://reliefweb.int/taxonomy/term/6077,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/eth,,,Affected country,
Burundi: Floods - Feb 1989,Burundi,,,https://reliefweb.int/taxonomy/term/5026,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/bdi,,,Affected country,
Sudan: Floods - Aug 1988,Sudan,,,https://reliefweb.int/taxonomy/term/6643,https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29,Flood,https://reliefweb.int/country/sdn,,,Affected country,
Rwanda: Torrential Rains - May 1988,Rwanda,,,https://reliefweb.int/taxonomy/term/4896,https://reliefweb.int/disasters?list=Severe%20Local%20Storm%20Disasters&advanced-search=%28TY4656%29,Severe Local Storm,https://reliefweb.int/country/rwa,,,Affected country,
Sudan: Drought Affected Population - Mar 1988,Sudan,,,https://reliefweb.int/taxonomy/term/6314,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/sdn,,,Affected country,
Djibouti: Drought - Feb 1988,Djibouti,,,https://reliefweb.int/taxonomy/term/6479,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/dji,,,Affected country,
Ethiopia: Drought - Jan 1988,Ethiopia,,,https://reliefweb.int/taxonomy/term/6674,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/eth,,,Affected country,
Somalia: Drought May - 1987,Somalia,,,https://reliefweb.int/taxonomy/term/6163,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/som,,,Affected country,
Sudan: Drought/Insecurity/Pest Infestation - Aug 1986,Sudan,,,https://reliefweb.int/taxonomy/term/6481,https://reliefweb.int/disasters?list=Insect%20Infestation%20Disasters&advanced-search=%28TY5255%29,Insect Infestation,https://reliefweb.int/country/sdn,,,Affected country,
Somalia: Hazardous Materials Accident - Sep 1985,Somalia,,,https://reliefweb.int/taxonomy/term/6013,https://reliefweb.int/disasters?list=Technological%20Disaster%20Disasters&advanced-search=%28TY4620%29,Technological Disaster,https://reliefweb.int/country/som,,,Affected country,
Somalia: Cholera Epidemic - Apr 1985,Somalia,,,https://reliefweb.int/taxonomy/term/5536,https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29,Epidemic,https://reliefweb.int/country/som,,,Affected country,
Sudan: Drought/Refugees - Jan 1985,Sudan,,,https://reliefweb.int/taxonomy/term/5188,https://reliefweb.int/disasters?list=Drought%20Disasters&advanced-search=%28TY4672%29,Drought,https://reliefweb.int/country/sdn,,,Affected country,
