"rw-river-article__title","rw-river-article__title href","rw-entity-meta__tag-value--status--ongoing","rw-entity-meta__tag-label 2","rw-entity-meta__tag-link","rw-entity-meta__tag-link href","rw-entity-meta__tag-link 2","rw-entity-meta__tag-link href 2","rw-entity-meta__tag-value__list__item","rw-entity-meta__tag-value--status--past"
"Ethiopia: Floods - May 2024","https://reliefweb.int/disaster/fl-2024-000074-eth","Ongoing","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Ethiopia","https://reliefweb.int/country/eth","",""
"Uganda: Floods - May 2024","https://reliefweb.int/disaster/fl-2024-000075-uga","Ongoing","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Uganda","https://reliefweb.int/country/uga","1 more",""
"Rwanda: Floods - Apr 2024","https://reliefweb.int/disaster/fl-2024-000064-rwa","Ongoing","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Rwanda","https://reliefweb.int/country/rwa","1 more",""
"Somalia: Floods - Apr 2024","https://reliefweb.int/disaster/fl-2024-000055-som","Ongoing","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Somalia","https://reliefweb.int/country/som","1 more",""
"Kenya: Floods - Apr 2024","https://reliefweb.int/disaster/fl-2024-000045-ken","Ongoing","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Kenya","https://reliefweb.int/country/ken","1 more",""
"Tanzania: Floods - Apr 2024","https://reliefweb.int/disaster/fl-2024-000058-tza","Ongoing","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Tanzania","https://reliefweb.int/country/tza","1 more",""
"Uganda: Anthrax Outbreak - Nov 2023","https://reliefweb.int/disaster/ep-2023-000251-uga","","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Uganda","https://reliefweb.int/country/uga","","Past Disaster"
"Tanzania: Floods - Nov 2023","https://reliefweb.int/disaster/fl-2023-000241-tza","","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Tanzania","https://reliefweb.int/country/tza","","Past Disaster"
"Ethiopia: Floods - Nov 2023","https://reliefweb.int/disaster/fl-2023-000229-eth","","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Ethiopia","https://reliefweb.int/country/eth","1 more","Past Disaster"
"Burundi: Floods and Landslides - Oct 2023","https://reliefweb.int/disaster/fl-2023-000231-bdi","Ongoing","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Burundi","https://reliefweb.int/country/bdi","1 more",""
"Kenya: Floods - Oct 2023","https://reliefweb.int/disaster/fl-2023-000216-ken","","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Kenya","https://reliefweb.int/country/ken","1 more","Past Disaster"
"Somalia: Floods - Oct 2023","https://reliefweb.int/disaster/fl-2023-000190-som","","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Somalia","https://reliefweb.int/country/som","","Past Disaster"
"South Sudan: Hepatitis E Outbreak - Sep 2023","https://reliefweb.int/disaster/ep-2023-000263-ssd","Ongoing","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","South Sudan","https://reliefweb.int/country/ssd","",""
"Sudan: Cholera Outbreak - Sep 2023","https://reliefweb.int/disaster/ep-2023-000181-sdn","Ongoing","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Sudan","https://reliefweb.int/country/sdn","",""
"Sudan: Floods - Sep 2023","https://reliefweb.int/disaster/fl-2023-000199-sdn","","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Sudan","https://reliefweb.int/country/sdn","","Past Disaster"
"Tanzania: Cholera Outbreak - Jul 2023","https://reliefweb.int/disaster/ep-2023-000224-tza","Ongoing","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Tanzania","https://reliefweb.int/country/tza","",""
"Rwanda: Floods and Landslides - May 2023","https://reliefweb.int/disaster/fl-2023-000064-rwa","","Disaster types","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Rwanda","https://reliefweb.int/country/rwa","1 more","Past Disaster"
"Tanzania: Floods - Apr 2023","https://reliefweb.int/disaster/fl-2023-000056-tza","","Disaster type","Flood","https://reliefweb.int/disasters?list=Flood%20Disasters&advanced-search=%28TY4611%29","Tanzania","https://reliefweb.int/country/tza","","Past Disaster"
"Kenya: Floods - Mar 2023","https://reliefweb.int/disaster/ff-2023-000051-ken","","Disaster types","Flash Flood","https://reliefweb.int/disasters?list=Flash%20Flood%20Disasters&advanced-search=%28TY4624%29","Kenya","https://reliefweb.int/country/ken","1 more","Past Disaster"
"Tanzania: Marburg Virus Disease Outbreak - Mar 2023","https://reliefweb.int/disaster/ep-2023-000047-tza","","Disaster type","Epidemic","https://reliefweb.int/disasters?list=Epidemic%20Disasters&advanced-search=%28TY4642%29","Tanzania","https://reliefweb.int/country/tza","","Past Disaster"